"TIV of arms exports from Germany (FRG), 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,South Africa,,,,,,,,,0,,,,,,,,,,,,,,,,,,,10,10,5,95,90,10,2,9,9,5,,,,,,,,,,,,,,,18,,,,140,640,1043
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,6,26,26,20,25,46,32,18,15,155,145,144,243,142,48,151,162,142,9,15,15,16,9,1621
,Spain,,88,131,167,12,,,25,1,,2,4,0,,,,,,,,9,1,,,,63,85,295,,,8,48,27,24,,,,,,,,24,24,30,15,88,86,3,4,5,12,11,4,8,42,148,326,1820
,Sudan,,,,,,,,,,,,,9,8,0,,,,,,,,,,,,,,,12,12,,,,,,,,,0,0,,,,,,,,,,,,,,,,,41
,Sweden,,,,,5,,,1,,,,,,,,,75,75,,,,,3,85,128,170,128,,,,,,,,,3,8,19,,,1,1,1,1,212,24,28,130,148,165,139,122,32,14,,,3,1721
,Switzerland,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,124,223,223,223,223,47,,,,,,,,,,,27,29,,1235
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,,90,90,,,4,,,,,20,24,,,,,,,360
,Tanzania,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,Thailand,,,,,,,,,,,,,,,,,,,,,,5,,,5,,88,44,,6,58,,,6,5,,12,45,10,11,11,38,43,3,4,12,4,,,,33,99,,,4,,,546
,Togo,,,,,,,,,,,,,,,,,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Tunisia,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,12,,,,,,,24,,,,,6,,,,,,,,168,,216
,Turkey,,,,,,,,,,,,,,,70,3,46,142,21,41,112,345,392,3,17,160,174,97,200,159,230,321,194,168,256,175,119,244,709,251,258,244,94,230,317,526,469,99,542,207,303,,,141,21,427,358,8885
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,88,181,1,1,2,2,0,,,,164,76,,,1,6,15,19,17,16,9,9,9,10,5,4,46,686
,Uganda,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,15,15,15,15,15,15,15,15,15,15,10,1,8,,,1,,,,,4,37,5,300,300,,,5,841
,United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,33
,Unknown country,,,,,,,,,,,,,20,40,40,40,40,40,40,40,,,,,,,,,,,29,84,84,85,85,85,85,85,85,40,,,,3,3,3,,,,,,2,,,,,,1058
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,24,8,,,,,,,,,,9,,,17,,67
,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,15,111,122,17,16,13,,,109,110,109,3,154,8,78,4,,,,,25,,,,,,0,12,922
,Venezuela,,,,,,,,,,,,,,,,,,200,,,,,,,,,143,143,3,,,,,3,,,,,,,,,5,,,5,,,,,,,8,,,,,510
,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,8,,16
,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,88,131,168,29,19,19,39,19,90,152,16,137,139,406,273,625,705,583,746,1423,1363,1334,202,1114,1386,1677,1849,1550,1402,1547,1835,1619,2313,2896,1315,1420,1113,1587,1249,1830,2544,1409,1560,2630,1459,1881,873,1754,1722,1622,826,901,1882,1003,1543,3861,
